model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa2-3,2340,7.5e-05,1024,0.376,0.3614,0.376,0.3207,0.4905,0.1199,0.0136,0.0027,0.8665,0.9864,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa2-4,2340,7.5e-05,1024,0.376,0.265,0.376,0.309,0.4877,0.119,0.0173,0.0009,0.8638,0.9827,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa2-5,2340,7.5e-05,1024,0.396,0.3491,0.396,0.3643,0.4559,0.1272,0.0209,0.0018,0.852,0.9791,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa2-1,2340,1e-05,1024,0.4015,0.2829,0.4015,0.3154,0.4559,0.1244,0.0182,,0.8574,0.9818,
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa2-2,2340,1e-05,1024,0.3996,0.3595,0.3996,0.3683,0.4659,0.1135,0.0209,0.0009,0.8656,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa2-3,2340,1e-05,1024,0.3896,0.2736,0.3896,0.3171,0.4768,0.1135,0.02,0.0009,0.8665,0.98,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa2-4,2340,1e-05,1024,0.3978,0.2795,0.3978,0.3199,0.4705,0.1126,0.0191,0.0018,0.8683,0.9809,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa2-5,2340,1e-05,1024,0.3924,0.2711,0.3924,0.3016,0.465,0.1199,0.0227,0.0009,0.8574,0.9773,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa2-1,2340,1e-05,1024,0.3497,0.1459,0.3497,0.2053,0.4151,0.1644,0.0627,0.0082,0.7648,0.9292,0.9918
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa2-2,2340,1e-05,1024,0.3869,0.3945,0.3869,0.3885,0.4478,0.1399,0.0245,0.0009,0.8347,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa2-3,2340,1e-05,1024,0.4024,0.406,0.4024,0.4031,0.4351,0.1381,0.0227,0.0018,0.8374,0.9755,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa2-4,2340,1e-05,1024,0.3778,0.3772,0.3778,0.374,0.4496,0.1353,0.0354,0.0018,0.8274,0.9628,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa2-5,2340,1e-05,1024,0.3824,0.3845,0.3824,0.3829,0.4641,0.1253,0.0272,0.0009,0.8465,0.9718,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa2-1,2340,2.5e-05,1024,0.4042,0.3566,0.4042,0.3479,0.455,0.1217,0.0191,0.0018,0.8592,0.9809,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa2-2,2340,2.5e-05,1024,0.4087,0.3506,0.4087,0.3561,0.4423,0.1235,0.0245,0.0009,0.851,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa2-3,2340,2.5e-05,1024,0.4105,0.3469,0.4105,0.3512,0.4396,0.1272,0.0218,0.0009,0.8501,0.9773,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa2-4,2340,2.5e-05,1024,0.406,0.3503,0.406,0.3601,0.4505,0.1172,0.0263,0.0009,0.8565,0.9737,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa2-5,2340,2.5e-05,1024,0.4178,0.3587,0.4178,0.3543,0.4369,0.1153,0.0291,0.0009,0.8547,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa2-1,2340,1e-05,1024,0.3969,0.3653,0.3969,0.3134,0.4641,0.1208,0.0182,0.0009,0.861,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa2-2,2340,1e-05,1024,0.4151,0.3681,0.4151,0.3626,0.4469,0.1126,0.0254,0.0009,0.8619,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa2-3,2340,1e-05,1024,0.4087,0.3379,0.4087,0.3382,0.4405,0.1217,0.0282,0.0009,0.8492,0.9709,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa2-4,2340,1e-05,1024,0.4151,0.3672,0.4151,0.3704,0.4469,0.1117,0.0263,0.0045,0.8619,0.9737,0.9955
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa2-5,2340,1e-05,1024,0.416,0.3653,0.416,0.3357,0.4305,0.1208,0.0318,0.0009,0.8465,0.9673,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa2-1,2340,7.5e-05,1024,0.3924,0.397,0.3924,0.2976,0.4623,0.1235,0.0218,0.0018,0.8547,0.9782,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa2-2,2340,7.5e-05,1024,0.4124,0.3638,0.4124,0.3532,0.4469,0.1153,0.0254,0.0009,0.8592,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa2-3,2340,7.5e-05,1024,0.4069,0.3465,0.4069,0.3342,0.436,0.1281,0.0282,0.0009,0.8429,0.9709,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa2-4,2340,7.5e-05,1024,0.4133,0.3743,0.4133,0.35,0.4478,0.1126,0.0263,0.0018,0.861,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa2-5,2340,7.5e-05,1024,0.4124,0.365,0.4124,0.3371,0.4287,0.1244,0.0336,0.0009,0.8411,0.9655,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa2-1,2340,7.5e-05,1024,0.4015,0.2878,0.4015,0.3092,0.4441,0.129,0.0245,0.0009,0.8456,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa2-2,2340,7.5e-05,1024,0.4187,0.2884,0.4187,0.3323,0.4269,0.1199,0.0336,0.0009,0.8456,0.9655,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa2-3,2340,7.5e-05,1024,0.4087,0.2823,0.4087,0.3237,0.4332,0.1262,0.0309,0.0009,0.842,0.9682,0.9991
