model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,off-by-1-accuracy
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-2,36,0.0001,1024,0.8279,0.8336,0.8279,0.8292,0.1536,0.0185,0.9815
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-3,36,0.0001,1024,0.8294,0.8336,0.8294,0.8302,0.1517,0.0189,0.9811
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-4,36,0.0001,1024,0.8265,0.8304,0.8265,0.8275,0.1544,0.0191,0.9809
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-5,36,0.0001,1024,0.8291,0.8325,0.8291,0.83,0.1519,0.019,0.981
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-2,36,0.0001,1024,0.824,0.8315,0.824,0.8257,0.1594,0.0166,0.9834
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-3,36,0.0001,1024,0.8239,0.8314,0.8239,0.8256,0.1595,0.0166,0.9834
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-4,36,0.0001,1024,0.8232,0.8306,0.8232,0.825,0.1608,0.016,0.984
google/bert_uncased_L-2_H-128_A-2-snli-BCE-1,36,1e-05,1024,0.7901,0.7946,0.7901,0.7913,0.1847,0.0252,0.9748
google/bert_uncased_L-2_H-128_A-2-snli-BCE-2,36,1e-05,1024,0.7887,0.7939,0.7887,0.79,0.1879,0.0235,0.9765
google/bert_uncased_L-2_H-128_A-2-snli-BCE-3,36,1e-05,1024,0.7891,0.7946,0.7891,0.7906,0.1869,0.0241,0.9759
google/bert_uncased_L-2_H-128_A-2-snli-BCE-4,36,1e-05,1024,0.7895,0.7933,0.7895,0.7907,0.1845,0.026,0.974
google/bert_uncased_L-2_H-128_A-2-snli-BCE-5,36,1e-05,1024,0.7853,0.7893,0.7853,0.7866,0.1899,0.0248,0.9752
google/bert_uncased_L-2_H-128_A-2-snli-BCE-1,36,7.5e-05,1024,0.8308,0.8323,0.8308,0.8312,0.1498,0.0194,0.9806
google/bert_uncased_L-2_H-128_A-2-snli-BCE-2,36,7.5e-05,1024,0.8275,0.8317,0.8275,0.8283,0.1532,0.0193,0.9807
google/bert_uncased_L-2_H-128_A-2-snli-BCE-3,36,7.5e-05,1024,0.8269,0.8308,0.8269,0.8276,0.1529,0.0202,0.9798
google/bert_uncased_L-2_H-128_A-2-snli-BCE-4,36,7.5e-05,1024,0.8275,0.832,0.8275,0.8282,0.1537,0.0188,0.9812
google/bert_uncased_L-2_H-128_A-2-snli-BCE-5,36,7.5e-05,1024,0.8248,0.8285,0.8248,0.8255,0.1546,0.0205,0.9795
google/bert_uncased_L-2_H-128_A-2-snli-BCE-1,36,5e-05,1024,0.8251,0.8267,0.8251,0.8256,0.1541,0.0207,0.9793
google/bert_uncased_L-2_H-128_A-2-snli-BCE-2,36,5e-05,1024,0.8264,0.8278,0.8264,0.8269,0.1522,0.0214,0.9786
google/bert_uncased_L-2_H-128_A-2-snli-BCE-3,36,5e-05,1024,0.8264,0.8294,0.8264,0.827,0.1531,0.0205,0.9795
google/bert_uncased_L-2_H-128_A-2-snli-BCE-4,36,5e-05,1024,0.8251,0.8264,0.8251,0.8256,0.1548,0.02,0.98
google/bert_uncased_L-2_H-128_A-2-snli-BCE-5,36,5e-05,1024,0.827,0.8292,0.827,0.8275,0.1529,0.0201,0.9799
google/bert_uncased_L-2_H-128_A-2-snli-BCE-1,36,2.5e-05,1024,0.8166,0.819,0.8166,0.8172,0.1617,0.0217,0.9783
google/bert_uncased_L-2_H-128_A-2-snli-BCE-2,36,2.5e-05,1024,0.8175,0.821,0.8175,0.8184,0.1615,0.021,0.979
google/bert_uncased_L-2_H-128_A-2-snli-BCE-3,36,2.5e-05,1024,0.8134,0.8172,0.8134,0.8144,0.1656,0.021,0.979
google/bert_uncased_L-2_H-128_A-2-snli-BCE-4,36,2.5e-05,1024,0.8132,0.8164,0.8132,0.8142,0.1651,0.0216,0.9784
google/bert_uncased_L-2_H-128_A-2-snli-BCE-5,36,2.5e-05,1024,0.8152,0.8173,0.8152,0.8159,0.1633,0.0215,0.9785
google/bert_uncased_L-2_H-128_A-2-snli-CE-1,36,1e-05,1024,0.7949,0.7944,0.7949,0.7946,0.1691,0.0361,0.9639
google/bert_uncased_L-2_H-128_A-2-snli-CE-2,36,1e-05,1024,0.7964,0.7958,0.7964,0.7959,0.1675,0.0361,0.9639
google/bert_uncased_L-2_H-128_A-2-snli-CE-3,36,1e-05,1024,0.7984,0.7979,0.7984,0.7981,0.1658,0.0358,0.9642
google/bert_uncased_L-2_H-128_A-2-snli-CE-4,36,1e-05,1024,0.7974,0.7967,0.7974,0.7969,0.1664,0.0362,0.9638
google/bert_uncased_L-2_H-128_A-2-snli-CE-5,36,1e-05,1024,0.797,0.7964,0.797,0.7965,0.1673,0.0357,0.9643
google/bert_uncased_L-2_H-128_A-2-snli-CE-1,36,7.5e-05,1024,0.8357,0.8371,0.8357,0.8359,0.1397,0.0246,0.9754
google/bert_uncased_L-2_H-128_A-2-snli-CE-2,36,7.5e-05,1024,0.8376,0.8376,0.8376,0.8375,0.138,0.0244,0.9756
google/bert_uncased_L-2_H-128_A-2-snli-CE-3,36,7.5e-05,1024,0.8365,0.8364,0.8365,0.8364,0.1394,0.0241,0.9759
google/bert_uncased_L-2_H-128_A-2-snli-CE-4,36,7.5e-05,1024,0.8367,0.8365,0.8367,0.8365,0.1382,0.0251,0.9749
google/bert_uncased_L-2_H-128_A-2-snli-CE-5,36,7.5e-05,1024,0.8377,0.8375,0.8377,0.8376,0.1384,0.0239,0.9761
google/bert_uncased_L-2_H-128_A-2-snli-CE-1,36,5e-05,1024,0.8342,0.8347,0.8342,0.8343,0.1396,0.0262,0.9738
google/bert_uncased_L-2_H-128_A-2-snli-CE-2,36,5e-05,1024,0.8341,0.8348,0.8341,0.834,0.1403,0.0256,0.9744
google/bert_uncased_L-2_H-128_A-2-snli-CE-3,36,5e-05,1024,0.8345,0.8351,0.8345,0.8346,0.1409,0.0246,0.9754
google/bert_uncased_L-2_H-128_A-2-snli-CE-4,36,5e-05,1024,0.8339,0.8345,0.8339,0.8339,0.1406,0.0255,0.9745
google/bert_uncased_L-2_H-128_A-2-snli-CE-5,36,5e-05,1024,0.8336,0.8344,0.8336,0.8337,0.1423,0.0241,0.9759
google/bert_uncased_L-2_H-128_A-2-snli-CE-1,36,2.5e-05,1024,0.8217,0.8216,0.8217,0.8216,0.1492,0.0292,0.9708
google/bert_uncased_L-2_H-128_A-2-snli-CE-2,36,2.5e-05,1024,0.8191,0.8194,0.8191,0.8191,0.1524,0.0284,0.9716
google/bert_uncased_L-2_H-128_A-2-snli-CE-3,36,2.5e-05,1024,0.8202,0.8201,0.8202,0.82,0.1509,0.029,0.971
google/bert_uncased_L-2_H-128_A-2-snli-CE-4,36,2.5e-05,1024,0.823,0.8231,0.823,0.8229,0.1488,0.0282,0.9718
google/bert_uncased_L-2_H-128_A-2-snli-CE-5,36,2.5e-05,1024,0.8213,0.8213,0.8213,0.8211,0.15,0.0288,0.9712
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-1,36,1e-05,1024,0.7884,0.7925,0.7884,0.7897,0.1868,0.0249,0.9751
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-2,36,1e-05,1024,0.7887,0.7921,0.7887,0.7896,0.1846,0.0267,0.9733
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-3,36,1e-05,1024,0.7892,0.7921,0.7892,0.7902,0.1846,0.0262,0.9738
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-4,36,1e-05,1024,0.792,0.796,0.792,0.7931,0.1823,0.0257,0.9743
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-5,36,1e-05,1024,0.7901,0.7939,0.7901,0.7912,0.1836,0.0263,0.9737
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-1,36,7.5e-05,1024,0.8255,0.8308,0.8255,0.8265,0.1549,0.0195,0.9805
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-2,36,7.5e-05,1024,0.8256,0.8315,0.8256,0.8267,0.1547,0.0196,0.9804
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-3,36,7.5e-05,1024,0.8263,0.8308,0.8263,0.8272,0.1548,0.0189,0.9811
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-4,36,7.5e-05,1024,0.8257,0.831,0.8257,0.8266,0.1542,0.02,0.98
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-5,36,7.5e-05,1024,0.8266,0.8312,0.8266,0.8275,0.1536,0.0198,0.9802
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-1,36,5e-05,1024,0.8264,0.8301,0.8264,0.8274,0.1541,0.0195,0.9805
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-2,36,5e-05,1024,0.8247,0.8275,0.8247,0.8255,0.1549,0.0203,0.9797
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-3,36,5e-05,1024,0.8274,0.8308,0.8274,0.8283,0.1532,0.0194,0.9806
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-4,36,5e-05,1024,0.8268,0.8315,0.8268,0.8279,0.1543,0.0189,0.9811
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-5,36,5e-05,1024,0.8297,0.8332,0.8297,0.8307,0.1512,0.0191,0.9809
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-1,36,2.5e-05,1024,0.8155,0.8197,0.8155,0.8166,0.1628,0.0217,0.9783
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-2,36,2.5e-05,1024,0.818,0.8227,0.818,0.8192,0.1608,0.0211,0.9789
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-3,36,2.5e-05,1024,0.8147,0.8185,0.8147,0.8157,0.1637,0.0216,0.9784
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-4,36,2.5e-05,1024,0.8142,0.8177,0.8142,0.8151,0.1634,0.0225,0.9775
google/bert_uncased_L-2_H-128_A-2-snli-OLL1-5,36,2.5e-05,1024,0.8152,0.8191,0.8152,0.8162,0.1629,0.0219,0.9781
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-5,36,0.0001,1024,0.8253,0.8323,0.8253,0.827,0.1581,0.0166,0.9834
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-1,36,1e-05,1024,0.782,0.7897,0.782,0.7841,0.197,0.021,0.979
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-2,36,1e-05,1024,0.7853,0.7922,0.7853,0.787,0.1925,0.0221,0.9779
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-3,36,1e-05,1024,0.7849,0.7919,0.7849,0.7868,0.1934,0.0217,0.9783
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-4,36,1e-05,1024,0.7842,0.7922,0.7842,0.7862,0.1947,0.0211,0.9789
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-5,36,1e-05,1024,0.7852,0.7921,0.7852,0.7871,0.1926,0.0221,0.9779
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-1,36,7.5e-05,1024,0.8209,0.828,0.8209,0.8223,0.1609,0.0182,0.9818
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-2,36,7.5e-05,1024,0.8221,0.8301,0.8221,0.8236,0.1611,0.0168,0.9832
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-3,36,7.5e-05,1024,0.8223,0.8298,0.8223,0.8238,0.1609,0.0168,0.9832
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-4,36,7.5e-05,1024,0.8223,0.8303,0.8223,0.8238,0.1608,0.0169,0.9831
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-5,36,7.5e-05,1024,0.8222,0.8283,0.8222,0.8236,0.1598,0.018,0.982
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-1,36,5e-05,1024,0.8182,0.8257,0.8182,0.82,0.1641,0.0177,0.9823
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-2,36,5e-05,1024,0.8204,0.8271,0.8204,0.8218,0.1626,0.0171,0.9829
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-3,36,5e-05,1024,0.8233,0.8292,0.8233,0.8248,0.1599,0.0168,0.9832
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-4,36,5e-05,1024,0.8237,0.8303,0.8237,0.8253,0.1594,0.0169,0.9831
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-5,36,5e-05,1024,0.8199,0.8264,0.8199,0.8215,0.1627,0.0175,0.9825
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-1,36,2.5e-05,1024,0.8059,0.8131,0.8059,0.8078,0.1756,0.0185,0.9815
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-2,36,2.5e-05,1024,0.81,0.8172,0.81,0.8118,0.172,0.018,0.982
google/bert_uncased_L-2_H-128_A-2-snli-OLL15-3,36,2.5e-05,1024,0.8075,0.8137,0.8075,0.8091,0.174,0.0185,0.9815
